date,5. volume,4. close,2. high,1. open,3. low
2018-11-15 13:15:00,1240.0,6.218,6.218,6.218,6.218
2018-11-15 14:06:00,100.0,6.25,6.25,6.25,6.25
2018-11-15 14:07:00,493.0,6.2525,6.2546,6.2546,6.2525
2018-11-15 14:12:00,1480.0,6.22,6.22,6.22,6.22
2018-11-15 14:16:00,117.0,6.21,6.21,6.21,6.21
2018-11-15 14:30:00,300.0,6.24,6.24,6.24,6.24
2018-11-15 14:50:00,365.0,6.25,6.25,6.25,6.25
2018-11-15 15:03:00,100.0,6.34,6.34,6.34,6.34
2018-11-15 15:05:00,260.0,6.26,6.26,6.26,6.26
2018-11-15 15:28:00,100.0,6.31,6.31,6.31,6.31
2018-11-15 15:36:00,390.0,6.29,6.29,6.29,6.29
2018-11-15 15:48:00,1250.0,6.2724,6.2724,6.27,6.27
2018-11-15 15:51:00,1175.0,6.23,6.23,6.23,6.23
2018-11-15 15:52:00,268.0,6.2,6.2,6.2,6.2
2018-11-15 15:55:00,116.0,6.2,6.2,6.2,6.2
2018-11-15 15:56:00,100.0,6.2,6.2,6.2,6.2
2018-11-15 15:59:00,367.0,6.1623,6.1623,6.1623,6.1623
2018-11-16 09:31:00,0.0,6.2,6.2,6.2,6.2
2018-11-16 09:53:00,100.0,6.13,6.13,6.13,6.13
2018-11-16 10:10:00,2097.0,6.35,6.3522,6.3522,6.35
2018-11-16 10:18:00,524.0,6.35,6.35,6.35,6.35
2018-11-16 10:34:00,370.0,6.33,6.33,6.33,6.33
2018-11-16 11:19:00,400.0,6.3617,6.3617,6.3617,6.3617
2018-11-16 12:06:00,1175.0,6.36,6.36,6.36,6.36
2018-11-16 12:56:00,241.0,6.36,6.36,6.36,6.36
2018-11-16 14:11:00,100.0,6.36,6.36,6.36,6.36
2018-11-16 14:25:00,100.0,6.36,6.36,6.36,6.36
2018-11-16 14:36:00,2449.0,6.36,6.36,6.36,6.36
2018-11-16 14:37:00,100.0,6.33,6.33,6.33,6.33
2018-11-16 14:41:00,503.0,6.3,6.3,6.3,6.3
2018-11-16 15:03:00,300.0,6.3,6.3,6.3,6.3
2018-11-16 15:04:00,159.0,6.3,6.3,6.3,6.3
2018-11-16 15:13:00,1172.0,6.27,6.27,6.27,6.27
2018-11-19 09:32:00,0.0,6.23,6.23,6.23,6.23
2018-11-19 09:46:00,121.0,6.23,6.23,6.23,6.23
2018-11-19 09:57:00,301.0,6.06,6.06,6.06,6.06
2018-11-19 09:58:00,300.0,6.0801,6.0801,6.0801,6.0801
2018-11-19 10:06:00,721.0,6.23,6.23,6.23,6.23
2018-11-19 10:10:00,348.0,6.17,6.17,6.17,6.17
2018-11-19 10:18:00,200.0,6.17,6.17,6.17,6.17
2018-11-19 10:24:00,150.0,6.0903,6.0903,6.0903,6.0903
2018-11-19 10:52:00,177.0,6.15,6.15,6.15,6.15
2018-11-19 13:54:00,181.0,6.18,6.18,6.18,6.18
2018-11-19 14:25:00,400.0,6.2,6.2,6.2,6.2
2018-11-19 14:33:00,107.0,6.21,6.21,6.21,6.21
2018-11-19 14:37:00,1851.0,6.21,6.21,6.21,6.21
2018-11-19 14:42:00,316.0,6.21,6.21,6.21,6.21
2018-11-19 14:53:00,350.0,6.22,6.22,6.22,6.22
2018-11-19 15:01:00,4300.0,6.25,6.25,6.24,6.24
2018-11-19 15:04:00,212.0,6.25,6.25,6.25,6.25
2018-11-19 15:46:00,209.0,6.22,6.22,6.22,6.22
2018-11-19 15:47:00,216.0,6.22,6.22,6.22,6.22
2018-11-20 09:31:00,0.0,6.14,6.14,6.14,6.14
2018-11-20 09:41:00,317.0,6.14,6.14,6.14,6.14
2018-11-20 09:45:00,288.0,6.09,6.09,6.09,6.09
2018-11-20 09:47:00,200.0,6.08,6.08,6.08,6.08
2018-11-20 09:53:00,100.0,6.08,6.08,6.08,6.08
2018-11-20 09:59:00,100.0,6.07,6.07,6.07,6.07
2018-11-20 10:02:00,502.0,6.0,6.01,6.01,6.0
2018-11-20 10:08:00,432.0,5.921,5.921,5.921,5.921
2018-11-20 10:37:00,2441.0,5.88,5.88,5.88,5.88
2018-11-20 11:38:00,805.0,5.89,5.89,5.89,5.89
2018-11-20 11:43:00,202.0,5.92,5.92,5.92,5.92
2018-11-20 11:50:00,105.0,5.92,5.92,5.92,5.92
2018-11-20 11:57:00,126.0,5.92,5.92,5.92,5.92
2018-11-20 12:05:00,100.0,5.92,5.92,5.92,5.92
2018-11-20 12:14:00,101.0,5.92,5.92,5.92,5.92
2018-11-20 12:22:00,200.0,5.92,5.92,5.92,5.92
2018-11-20 12:39:00,100.0,5.92,5.92,5.92,5.92
2018-11-20 12:49:00,100.0,5.92,5.92,5.92,5.92
2018-11-20 12:58:00,100.0,5.91,5.91,5.91,5.91
2018-11-20 13:07:00,100.0,5.91,5.91,5.91,5.91
2018-11-20 13:16:00,105.0,5.91,5.91,5.91,5.91
2018-11-20 13:25:00,100.0,5.89,5.89,5.89,5.89
2018-11-20 13:34:00,100.0,5.89,5.89,5.89,5.89
2018-11-20 13:43:00,100.0,5.89,5.89,5.89,5.89
2018-11-20 13:52:00,300.0,5.82,5.89,5.89,5.82
2018-11-20 14:06:00,100.0,5.82,5.82,5.82,5.82
2018-11-20 14:09:00,100.0,5.82,5.82,5.82,5.82
2018-11-20 14:11:00,500.0,5.8,5.8,5.8,5.8
2018-11-20 14:20:00,100.0,5.8,5.8,5.8,5.8
2018-11-20 14:21:00,150.0,5.8,5.8,5.8,5.8
2018-11-20 15:03:00,190.0,5.8,5.8,5.8,5.8
2018-11-20 15:04:00,100.0,5.8,5.8,5.8,5.8
2018-11-20 15:07:00,1842.0,5.8,5.8,5.8,5.8
2018-11-20 15:13:00,122.0,5.8,5.8,5.8,5.8
2018-11-20 15:18:00,300.0,5.8,5.8,5.8,5.8
2018-11-20 15:21:00,600.0,5.79,5.79,5.79,5.79
2018-11-20 15:40:00,100.0,5.87,5.87,5.87,5.87
2018-11-20 15:41:00,100.0,5.87,5.87,5.87,5.87
2018-11-20 15:43:00,100.0,5.87,5.87,5.87,5.87
2018-11-20 15:44:00,100.0,5.88,5.88,5.88,5.88
2018-11-20 15:45:00,100.0,5.88,5.88,5.88,5.88
2018-11-20 15:48:00,400.0,5.93,5.93,5.93,5.93
2018-11-20 15:49:00,100.0,5.93,5.93,5.93,5.93
2018-11-20 15:51:00,200.0,5.94,5.94,5.94,5.94
2018-11-20 15:52:00,705.0,5.95,5.95,5.95,5.95
2018-11-20 15:56:00,604.0,6.0,6.0,6.0,6.0
2018-11-20 15:59:00,396.0,6.01,6.01,6.01,6.01
2018-11-20 16:00:00,1178.0,6.02,6.02,6.02,6.02
2018-11-21 09:31:00,0.0,5.87,5.87,5.87,5.87
2018-11-21 09:38:00,400.0,5.98,5.98,5.98,5.98
2018-11-21 09:50:00,136.0,5.98,5.98,5.98,5.98
2018-11-21 10:27:00,190.0,6.0693,6.0693,6.0693,6.0693
2018-11-21 12:27:00,3177.0,6.12,6.12,6.07,6.07
2018-11-21 12:46:00,983.0,6.12,6.12,6.12,6.12
2018-11-21 14:32:00,100.0,6.21,6.21,6.21,6.21
2018-11-21 14:48:00,100.0,6.21,6.21,6.21,6.21
2018-11-21 14:54:00,1580.0,6.24,6.24,6.24,6.24
2018-11-21 15:00:00,290.0,6.24,6.24,6.24,6.24
2018-11-21 15:56:00,572.0,6.19,6.19,6.19,6.19
2018-11-21 16:00:00,0.0,6.21,6.21,6.21,6.11
